id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
167,岁月神偷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,中国香港 中国大陆,2010, 罗启锐 Alex Law, 吴君如 Sandra Ng,8.7,岁月流逝，来日可追。,剧情/家庭,
168,黑客帝国3：矩阵革命,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,美国 澳大利亚,2003, Andy Wachowski, Andy Wachowski,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,动作/科幻,
169,心迷宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,中国大陆,2014, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,剧情/犯罪/悬疑,
170,头脑特工队,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,美国,2015, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.7,愿我们都不用长大，每一座城堡都能永远存在。,喜剧/动画/冒险,
171,记忆碎片,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,美国,2000, 克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce,8.7,一个针管引发的血案。,犯罪/剧情/悬疑/惊悚,
172,你的名字。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,日本,2016, 新海诚 Makoto Shinkai, 神木隆之介 Ryûnosuke Kamiki,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,剧情/爱情/动画,
173,忠犬八公物语,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg,日本,1987, Seijirô Kôyama, 山本圭 Kei Yamamoto,9.2,养狗三日，便会对你终其一生。,剧情,
174,荒蛮故事,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,阿根廷 西班牙,2014, 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío...,8.8,始于荒诞，止于更荒诞。,剧情/喜剧/犯罪,
175,真爱至上,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,英国 美国 法国,2003, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant,8.6,爱，是个动词。,喜剧/剧情/爱情,
176,海街日记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,日本,2015, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase,8.8,是枝裕和的家庭习作。,剧情/家庭,
177,爆裂鼓手,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,美国,2014, 达米恩·查泽雷 Damien Chazelle, 迈尔斯·特勒 Miles Teller,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,剧情/音乐,
178,贫民窟的百万富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,英国,2008, 丹尼·鲍尔 Danny Boyle, 丹尼·鲍尔 Danny Boyle,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,剧情/爱情,
179,东邪西毒,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,中国香港 中国台湾,1994, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung,8.6,电影诗。,剧情/动作/爱情/武侠/古装,
180,萤火虫之墓,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,日本,1988, 高畑勋 Isao Takahata, 辰己努,8.7,幸福是生生不息，却难以触及的远。 ,动画/剧情/战争,
181,寄生虫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,韩国,2019, 奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song,8.8,,剧情/喜剧,
182,惊魂记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,美国,1960, 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho...,9.0,故事的反转与反转，分裂电影的始祖。,悬疑/惊悚/恐怖,
183,黑天鹅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,美国,2010, 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie...,8.6,黑暗之美。,剧情/惊悚,
184,哈利·波特与火焰杯,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,英国 美国,2005, 迈克·内威尔 Mike Newell, 丹尼尔·雷德克里夫 Daniel Radclif...,8.6,,悬疑/奇幻/冒险,
185,无敌破坏王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,美国,2012, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly,8.7,迪士尼和皮克斯拿错剧本的产物。,喜剧/动画/奇幻/冒险,
186,你看起来好像很好吃,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,日本,2010, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi,8.9,感情不分食草或者食肉。,剧情/动画/儿童,
187,小偷家族,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,日本,2018, 是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky,8.7,我们组成了家。,剧情/犯罪/家庭,
188,绿里奇迹,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,美国,1999, Frank Darabont, 汤姆·汉克斯 Tom Hanks,8.9,天使暂时离开。,犯罪/剧情/奇幻/悬疑,
189,冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,美国,2002, 卡洛斯·沙尔丹哈 Carlos Saldanha, 卡洛斯·沙尔丹哈 Carlos Saldanha,8.6,松鼠才是角儿。,喜剧/动画/冒险,
190,爱在午夜降临前,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,美国 希腊,2013, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,剧情/爱情,
191,雨人,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg,美国,1988, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ...,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,剧情,
192,恋恋笔记本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,美国,2004, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,剧情/爱情,
193,疯狂的石头,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,中国大陆 中国香港,2006, 宁浩 Hao Ning, 郭涛 Tao Guo,8.5,中国版《两杆大烟枪》。,喜剧/犯罪,
194,九品芝麻官,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,中国香港 中国大陆,1994, 王晶 Jing Wong, 周星驰 Stephen Chow,8.6,,剧情/喜剧/古装,
195,恐怖游轮,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,英国 澳大利亚,2009, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,8.5,不要企图在重复中寻找已经失去的爱。,剧情/悬疑/惊悚,
196,奇迹男孩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,美国 中国香港,2017, 斯蒂芬·卓博斯基 Stephen Chbosky, 雅各布·特伦布莱 Jacob Tr...,8.6,世界不完美，爱会有奇迹。,剧情/儿童/家庭,
197,雨中曲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,美国,1952, 斯坦利·多南 Stanley Donen, 斯坦利·多南 Stanley Donen,9.0,骨灰级歌舞片。,喜剧/歌舞/爱情,
198,魔女宅急便,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,日本,1989, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,动画/奇幻/冒险,
199,二十二,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,中国大陆,2015, 郭柯 Ke Guo,,8.7,有一些东西不应该被遗忘。,纪录片,
200,虎口脱险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,法国 英国,1966, 杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès...,8.9,永远看不腻的喜剧。,喜剧/战争,
201,海边的曼彻斯特,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,美国,2016, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,8.6,我们都有权利不与自己的过去和解。,剧情/家庭,
202,人工智能,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,美国 英国,2001, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley...,8.7,对爱的执着，可以超越一切。,剧情/科幻,
203,2001太空漫游,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,英国 美国,1968, 斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea,8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。,科幻/惊悚/冒险,
204,色，戒,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,中国台湾 中国大陆 美国 中国香港,2007, 李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai,8.5,假戏真情，爱欲深海,剧情/爱情/情色,
205,房间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,爱尔兰 加拿大 英国 美国,2015, 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,剧情/家庭,
206,城市之光,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,美国,1931, Charles Chaplin, 查理·卓别林 Charles Chaplin,9.3,永远的小人物，伟大的卓别林。,喜剧/剧情/爱情,
207,可可西里,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,中国大陆 中国香港,2004, 陆川 Chuan Lu, 多布杰 Duobujie,8.8,坚硬的信仰。,剧情/犯罪,
208,罗生门,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg,日本,1950, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune,8.8,人生的N种可能性。,剧情/犯罪/悬疑,
209,终结者2：审判日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,美国 法国,1991, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,8.7,少见的超越首部的续集，动作片中的经典。,动作/科幻,
210,初恋这件小事,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,泰国,2010, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,8.4,黑小鸭速效美白记。,剧情/喜剧/爱情,
211,大佛普拉斯,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,中国台湾,2017, 黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,剧情/喜剧,
212,波西米亚狂想曲,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,英国 美国,2018, 布莱恩·辛格 Bryan Singer, 拉米·马雷克 Rami Malek,8.7,,剧情/传记/同性/音乐,
213,遗愿清单,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1481879628.jpg,美国,2007, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson,8.7,用剩余不多的时间，去燃烧整个生命。,冒险/喜剧/剧情,
214,魂断蓝桥,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,美国,1940, 茂文·勒鲁瓦 Mervyn LeRoy, 费雯·丽 Vivien Leigh,8.8,中国式内在的美国电影。,剧情/爱情/战争,
215,牯岭街少年杀人事件,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,中国台湾,1991, 杨德昌 Edward Yang, 张震 Chen Chang,8.9,弱者送给弱者的一刀。,剧情/犯罪,
216,源代码,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,美国 加拿大,2011, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,科幻/悬疑/惊悚,
217,新龙门客栈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,中国香港 中国大陆,1992, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung,8.6,嬉笑怒骂，调风动月。,动作/爱情/武侠/古装,
218,青蛇,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,中国香港 中国大陆,1993, 徐克 Hark Tsui, 张曼玉 Maggie Cheung,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,剧情/爱情/奇幻/古装,
219,疯狂的麦克斯4：狂暴之路,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,澳大利亚 南非 美国,2015, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,动作/科幻/冒险,
220,无耻混蛋,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg,德国 美国,2009, Quentin Tarantino, 布拉德·皮特 Brad Pitt,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,剧情/犯罪,
221,血钻,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,美国 德国 英国,2006, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...,8.7,每个美丽事物背后都是滴血的现实。,剧情/惊悚/冒险,
222,燃情岁月,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,美国,1994, 爱德华·兹威克 Edward Zwick, 布拉德·皮特 Brad Pitt,8.8,传奇，不是每个人都可以拥有。,剧情/爱情/战争/西部,
223,步履不停,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg,日本,2008, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,剧情/家庭,
224,海洋,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,2009, 雅克·贝汉 Jacques Perrin, 雅克·贝汉 Jacques Perrin,9.1,大海啊，不全是水。,纪录片,
225,穿越时空的少女,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,日本,2006, 细田守 Mamoru Hosoda, 仲里依纱 Riisa Naka,8.6,爱上未来的你。 ,剧情/爱情/科幻/动画,
226,谍影重重2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,美国 德国,2004, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon,8.7,谁说王家卫镜头很晃？,动作/悬疑/惊悚,
227,彗星来的那一夜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,美国 英国,2013, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...,8.5,小成本大魅力。,科幻/悬疑/惊悚,
228,东京教父,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,日本,2003, 今敏 Satoshi Kon, 江守彻 Toru Emori,9.0,,剧情/喜剧/动画,
229,阿飞正传,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,中国香港,1990, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung,8.5,王家卫是一种风格，张国荣是一个代表。,犯罪/剧情/爱情,
230,战争之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,美国 法国,2005, 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage,8.7,做一颗让别人需要你的棋子。,剧情/犯罪,
231,地球上的星星,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,印度,2007, 阿米尔·汗 Aamir Khan, 达席尔·萨法瑞 Darsheel Safary,8.9,天使保护事件始末。,剧情/儿童/家庭,
232,完美陌生人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,意大利,2016, 保罗·格诺维瑟 Paolo Genovese, 马可·贾利尼 Marco Giallini ...,8.5,来啊，互相伤害啊！,剧情/喜剧,
233,无间道2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,中国香港,2003, 刘伟强, 刘伟强,8.6,,动作/犯罪/剧情/惊悚,
234,谍影重重,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,美国 德国 捷克,2002, 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,动作/悬疑/惊悚,
235,香水,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2571500223.jpg,德国 法国 西班牙 美国,2006, 汤姆·提克威 Tom Tykwer, 本·卫肖 Ben Whishaw,8.5,一个单凭体香达到高潮的男人。,剧情/犯罪/奇幻,
236,千钧一发,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,美国,1997, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke,8.8,一部能引人思考的科幻励志片。,剧情/科幻/惊悚,
237,东京物语,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg,日本,1953, 小津安二郎 Yasujirô Ozu, 笠智众 Chishû Ryû,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,剧情/家庭,
238,黑客帝国2：重装上阵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg,美国 澳大利亚,2003, Andy Wachowski, Andy Wachowski,8.6,一个精彩的世界观正在缓缓建立。,动作/科幻,
239,崖上的波妞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg,日本,2008, 宫崎骏 Hayao Miyazaki, 奈良柚莉爱 Yuria Nara,8.5,,动画/奇幻/冒险,
240,驴得水,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg,中国大陆,2016, 周申 Shen Zhou, 周申 Shen Zhou,8.3,过去的如果就让它过去了，未来只会越来越糟！,剧情/喜剧,
241,再次出发之纽约遇见你,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,美国,2013, 约翰·卡尼 John Carney, 凯拉·奈特莉 Keira Knightley,8.6,爱我就给我看你的播放列表。,喜剧/爱情/音乐,
242,朗读者,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,美国 德国,2008, 史蒂芬·戴德利 Stephen Daldry, 凯特·温丝莱特 Kate Winslet ...,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,剧情/爱情,
243,我爱你,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg,韩国,2011, 秋昌民 Chang-min Choo, 宋在河 Jae-ho Song,9.1,你要相信，这世上真的有爱存在，不管在什么年纪 ,剧情/爱情,
244,猜火车,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg,英国,1996, 丹尼·博伊尔 Danny Boyle, 伊万·麦克格雷格 Ewan McGregor,8.5,不可猜的青春迷笛。 ,剧情/犯罪,
245,聚焦,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,美国,2015, 托马斯·麦卡锡 Thomas McCarthy, 马克·鲁弗洛 Mark Ruffalo,8.8,新闻人的理性求真。,剧情/传记,
246,浪潮,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,德国,2008, 丹尼斯·甘塞尔 Dennis Gansel, 尤尔根·沃格尔 Jürgen Vogel ...,8.7,世界离独裁只有五天。,剧情/惊悚,
247,小萝莉的猴神大叔,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,印度,2015, 卡比尔·汗 Kabir Khan, 萨尔曼·汗 Salman Khan,8.4,宝莱坞的萝莉与大叔。,剧情/喜剧/动作,
248,追随,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg,英国,1998, 克里斯托弗·诺兰 Christopher Nolan, 杰里米·西奥伯德 Jeremy...,8.9,诺兰的牛逼来源于内心散发出的恐惧。,犯罪/悬疑/惊悚,
249,网络谜踪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg,美国 俄罗斯,2018, 阿尼什·查甘蒂 Aneesh Chaganty, 约翰·赵 John Cho,8.6,,剧情/犯罪/悬疑/惊悚,
250,黑鹰坠落,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg,美国 英国,2001, 雷德利·斯科特 Ridley Scott, 乔什·哈奈特 Josh Hartnett,8.7,还原真实而残酷的战争。,动作/历史/战争,
